feature_name,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,pvalue
gradient_glcm_Id,0.1400¡À0.0302,0.1466¡À0.0342,0.1428¡À0.0255,0.1411¡À0.0240,0.1473¡À0.0252,0.1197¡À0.0141,0.1310¡À0.0291,0.008630702
squareroot_glcm_Idm,0.0395¡À0.0163,0.0351¡À0.0194,0.0375¡À0.0146,0.0477¡À0.0102,0.0418¡À0.0161,0.0412¡À0.0097,0.0446¡À0.0129,0.008644466
lbp_3D_m1_glcm_Correlation,-0.0447¡À0.0352,-0.0539¡À0.0449,-0.0425¡À0.0200,-0.0563¡À0.0341,-0.0302¡À0.0258,-0.0289¡À0.0211,-0.0354¡À0.0250,0.00933586
gradient_firstorder_Minimum,14.3177¡À8.4286,12.8049¡À8.6710,12.5660¡À6.3168,13.5121¡À5.3749,16.1951¡À6.0946,14.9304¡À6.4136,17.6157¡À10.3337,0.009339277
log_sigma_1_0_mm_3D_glcm_Idn,0.9043¡À0.0266,0.9111¡À0.0275,0.9119¡À0.0203,0.8847¡À0.0206,0.8931¡À0.0251,0.9042¡À0.0167,0.8967¡À0.0288,0.009340472
log_sigma_1_0_mm_3D_glcm_Id,0.0748¡À0.0165,0.0787¡À0.0174,0.0723¡À0.0120,0.0850¡À0.0170,0.0772¡À0.0147,0.0607¡À0.0078,0.0702¡À0.0165,0.009383163
wavelet_LLL_firstorder_Kurtosis,6.0093¡À2.8022,6.7623¡À2.8516,5.8635¡À2.3959,5.5941¡À1.9098,6.5468¡À5.8967,4.8920¡À1.6381,5.1338¡À1.9265,0.00974194
wavelet_HLL_glcm_InverseVariance,0.0147¡À0.0067,0.0164¡À0.0082,0.0137¡À0.0045,0.0177¡À0.0085,0.0142¡À0.0036,0.0101¡À0.0014,0.0129¡À0.0045,0.009956964
log_sigma_3_0_mm_3D_glrlm_LongRunEmphasis,1.0173¡À0.0096,1.0196¡À0.0127,1.0178¡À0.0054,1.0166¡À0.0035,1.0169¡À0.0080,1.0143¡À0.0044,1.0142¡À0.0076,0.010013792
log_sigma_5_0_mm_3D_firstorder_Median,302.3630¡À96.3013,278.2037¡À79.5547,319.7614¡À98.1652,261.2510¡À103.2343,313.8021¡À49.9582,305.6793¡À80.1469,341.1919¡À120.7103,0.010271775
log_sigma_3_0_mm_3D_glrlm_RunPercentage,0.9944¡À0.0030,0.9937¡À0.0039,0.9942¡À0.0017,0.9945¡À0.0012,0.9945¡À0.0026,0.9953¡À0.0014,0.9953¡À0.0025,0.010339697
log_sigma_3_0_mm_3D_glrlm_RunVariance,0.0058¡À0.0034,0.0066¡À0.0046,0.0059¡À0.0019,0.0055¡À0.0012,0.0056¡À0.0027,0.0048¡À0.0016,0.0047¡À0.0025,0.010389669
logarithm_glcm_Id,0.0524¡À0.0186,0.0472¡À0.0204,0.0535¡À0.0197,0.0571¡À0.0111,0.0516¡À0.0161,0.0545¡À0.0131,0.0588¡À0.0170,0.010467154
log_sigma_1_0_mm_3D_glrlm_RunVariance,0.0070¡À0.0043,0.0081¡À0.0059,0.0067¡À0.0018,0.0081¡À0.0023,0.0071¡À0.0031,0.0049¡À0.0018,0.0058¡À0.0026,0.010735013
log_sigma_2_0_mm_3D_firstorder_RootMeanSquared,1328.0243¡À107.9250,1307.6843¡À98.7866,1320.9734¡À97.6461,1285.3804¡À65.7592,1317.9181¡À109.0552,1405.8849¡À130.3590,1359.5715¡À120.5411,0.011029723
log_sigma_1_0_mm_3D_glcm_Idm,0.0316¡À0.0105,0.0340¡À0.0113,0.0299¡À0.0066,0.0384¡À0.0118,0.0339¡À0.0084,0.0236¡À0.0045,0.0284¡À0.0106,0.011060381
wavelet_HLL_firstorder_RobustMeanAbsoluteDeviation,270.8724¡À84.6242,245.7365¡À79.8760,302.0568¡À96.3195,225.5011¡À55.0151,246.3737¡À68.6597,346.0028¡À76.1844,291.3016¡À75.8912,0.011592859
log_sigma_3_0_mm_3D_glrlm_ShortRunEmphasis,0.9958¡À0.0022,0.9953¡À0.0029,0.9956¡À0.0013,0.9958¡À0.0009,0.9958¡À0.0019,0.9965¡À0.0010,0.9965¡À0.0019,0.011649998
log_sigma_3_0_mm_3D_glrlm_RunLengthNonUniformityNormalized,0.9889¡À0.0058,0.9876¡À0.0074,0.9885¡À0.0034,0.9891¡À0.0023,0.9891¡À0.0051,0.9907¡À0.0027,0.9907¡À0.0050,0.012059425
log_sigma_5_0_mm_3D_firstorder_Mean,251.7536¡À90.8825,230.7726¡À71.9977,269.0316¡À88.5850,198.1206¡À86.3575,260.9516¡À49.4606,257.7887¡À73.9155,288.8421¡À120.3751,0.012180879
